entry,occurrences
coronavirus,209
inc,90
use,73
media,59
group,54
peopl,53
ap,52
inform,51
new,51
content,45
gmbh,45
home,43
world,41
virus,41
us,40
ltd,40
time,39
mar,38
social,37
video,37
report,35
uk,35
help,35
share,34
news,34
limit,34
servic,33
see,33
like,33
may,32
close,32
said,32
advertis,31
say,31
https,31
get,30
show,30
week,30
test,30
set,28
data,28
technolog,28
countri,28
respons,27
measur,27
could,27
outbreak,27
make,26
stori,26
select,25
view,25
right,25
nation,25
provid,25
crisi,25
need,25
pandem,25
case,25
websit,24
work,24
cooki,24
today,24
health,24
live,23
death,23
left,23
day,23
medic,23
take,22
collect,22
access,22
updat,22
lockdown,22
one,22
state,22
exercis,22
patient,22
play,21
pictur,21
top,21
class,21
stay,20
personalis,20
experi,20
vendor,20
includ,20
read,20
citi,20
first,20
year,20
result,20
spread,20
quiz,20
american,20
trump,20
hospit,20
posit,19
interest,19
purpos,19
mobil,19
llc,19
way,19
london,19
last,19
sunday,19
around,18
input,18
market,18
latest,18
reveal,18
quarantin,18
doctor,18
vote,18
govern,18
edt,18
devic,17
host,17
itali,17
olymp,17
pleas,17
amid,17
worker,17
explain,17
generat,16
across,16
ad,16
page,16
distanc,16
shop,16
total,16
bigger,16
presid,16
featur,15
visit,15
store,15
allow,15
find,15
button,15
best,15
onlin,15
save,15
go,15
mani,15
keep,15
street,15
warn,15
follow,15
prefer,14
deliveri,14
person,14
monday,14
hold,14
partner,14
shut,14
busi,14
fight,14
infect,14
imag,14
link,14
privaci,13
sub,13
dynam,13
network,13
process,13
name,13
sport,13
come,13
emerg,13
die,13
confirm,13
china,13
fear,13
global,12
look,12
give,12
click,12
parti,12
consent,12
locat,12
opinion,12
compani,12
franc,12
plan,12
game,12
train,12
hit,12
parent,12
version,12
due,12
coupl,12
past,12
washington,12
financi,12
care,12
hour,12
public,12
per,12
continu,11
browser,11
chang,11
futur,11
manag,11
daili,11
face,11
microsoft,11
europ,11
perform,11
hous,11
tokyo,11
school,11
advic,11
everi,11
johnson,11
canada,11
man,11
put,11
postpon,11
becom,11
effort,11
ill,11
would,11
month,11
cent,11
pm,11
break,11
guardian,11
propublica,11
deliv,10
sas,10
big,10
power,10
recent,10
deal,10
announc,10
risk,10
cut,10
mask,10
suppli,10
believ,10
know,10
stock,10
poll,10
outsid,10
back,10
expert,10
also,10
associ,10
call,10
develop,10
ago,10
line,10
min,10
impact,9
contain,9
identifi,9
head,9
function,9
messag,9
long,9
similar,9
delay,9
free,9
intern,9
control,9
tv,9
email,9
centr,9
order,9
buy,9
design,9
former,9
park,9
tell,9
unit,9
offici,9
border,9
economi,9
beauti,9
press,9
sever,9
toll,9
two,9
saturday,9
three,9
must,9
sky,9
republish,9
search,8
necessari,8
alway,8
activ,8
part,8
site,8
previous,8
effect,8
list,8
descript,8
clear,8
improv,8
materi,8
publish,8
solut,8
sa,8
digit,8
number,8
industri,8
want,8
easi,8
car,8
still,8
photo,8
refresh,8
paul,8
york,8
tri,8
air,8
record,8
learn,8
young,8
author,8
avoid,8
life,8
capit,8
treat,8
ja,8
ask,8
west,8
high,8
support,8
gam,8
reuter,8
agre,7
categori,7
action,7
track,7
third,7
understand,7
storag,7
base,7
march,7
msn,7
dba,7
sp,7
bv,7
contact,7
spain,7
dr,7
join,7
product,7
reach,7
travel,7
quick,7
sign,7
place,7
indoor,7
girl,7
dog,7
rule,7
talk,7
prepar,7
load,7
modul,7
staff,7
key,7
food,7
supermarket,7
cat,7
popular,7
bori,7
restaur,7
serious,7
toilet,7
famili,7
local,7
step,7
run,7
less,7
favorit,7
ms,7
age,7
hope,7
rescu,7
thing,7
ioc,7
safe,7
togeth,7
symptom,7
race,7
restrict,7
watch,7
pack,7
ban,7
polic,7
inset,7
meet,7
reader,7
enhanc,7
form,6
expect,6
type,6
offer,6
switch,6
fill,6
friend,6
build,6
general,6
shown,6
app,6
checkbox,6
